Taxon	Taxon Level	Function	Type	Likelihood	Notes	Citation/Source
Phyllosticta ampelicida	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta anacardiacearum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta arachidishypogaea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta arachidis-hypogaea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta batatas	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta bractearum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta brassicae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta brassicina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta cajani	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta capitalensis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta caricaepapayae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta caricae-papayae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta carpogena	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta circumscissa	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta citricarpa	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta coffeicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta concentrica	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta coryli	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta cucurbitacearum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta cunninghamii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta cyclaminicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta cyclaminis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta deckdua	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta draconis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta dulcamarae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta dusana	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta elongata	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta erratica	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta hawaiiensis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta humuli	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta hydrangeae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta lentisci	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta lupulina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta manihotae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta manihoticola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta maydis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta micropuncta	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta mortonii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta musarum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta nicotiana	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta palmetto	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta penicillariae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta perseae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta phaseolina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta platani	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta pseudocapsici	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta rhododendri	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta sojicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta solitaria	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta theae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta theifolia	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phyllosticta vaccinii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phymatotrichopsis omnivora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phymatotrichopsis omnivorum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phymatotrichum omnivorum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora abdita	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora disrupta	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora fusca	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora glandicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora malorum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora obtusa	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora perseae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora piricola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora rhodina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora tucumanesis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora vaccinii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora zeae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physalospora zeicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physarum cinereum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physoderma alfalfae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physoderma graminis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physoderma leproides	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physoderma maydis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physoderma paspali	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physoderma trifolii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physopella ampelopsidis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physopella pallescens	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Physopella zeae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora arecae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora cactorum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora cambivora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora capsici	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora cinnamomi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora citricola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora citrophthora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora cryptogea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora drechsleri	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora dreschsleri	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora erythroseptica	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora foliorum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora fragariae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora gonapodyides	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora hedraiandra	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora heveae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora hibernalis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora hydropathica	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora infestans	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora inflata	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora insolita	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora katsurae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora kernoviae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora medicaginis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora megakarya	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora megasperma	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora nicotianae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora palmivora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora parasitica	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora phaseoli	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora pini	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora plurivora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora pseudosyringae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora ramorum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora sojae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora syringae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Phytophthora tropicalis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pichia membranefaciens	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pichia subpelliculosa	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Piggotia coryli	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pileolaria terebinthi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pilidiella quercicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pithomyces maydicus	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmodiophora brassicae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara crustosa	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara halstedii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara helianthi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara lactucaeradicis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara lactucae-radicis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara nivea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara obducens	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara penniseti	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara pygmaea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plasmopara viticola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Platyspora pentamera	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plectosporium tabacinum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plenodomas destruens	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Plenodomus meliloti	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleocyta sacchari	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleosphaerulina sojicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora alfalfae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora allii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora betae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora herbarum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora lycopersici	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora tarda	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleospora theae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleurotus dryinus	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pleurotus ostreatus	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera clandestina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera leucotricha	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera macularis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera tridactyla	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Podosphaera xanthii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Polyscytalum pustulans	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Polystigma ochraceum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Polythrincium trifolii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pratylenchus brachyurus	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pratylenchus coffeae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pratylenchus goodeyi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pratylenchus reniformia	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Protoventuria myrtilli	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercosoporella herpotrichoides	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora calospilea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora cannabina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora cruenta	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora fuligena	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora fuscovirens	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora fusco-virens	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora handelii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora mali	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora musae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora puderi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora purpurea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora rhapisicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora rubi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora subsessilis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora theae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercospora vitis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercosporella albida	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercosporella capsellae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercosporella caryigena	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocercosporella herpotrichoides	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudocochliobolus eragrostidis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudoepicoccum cocos	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudomonas cichorii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudomonas solanacearum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudoperonospora cannabina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudoperonospora cubensis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudoperonospora humuli	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudopezicula tetraspora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudopezicula tracheiphila	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudopeziza jonesii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudopeziza medicaginis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudopeziza tracheiphila	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudopeziza trifolii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudophaeolus baudonii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudoseptoria donacis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudoseptoria everhartii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Pseudoseptoria stomaticola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia allii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia angustata	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia arachidis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia aristidae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia asparagi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia brachypodii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia cacabata	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia calcitrapae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia campanulae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia carthami	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia coronata	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia cynodontis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia dioicae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia erianthi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia extensicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia graminis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Puccinia helianthi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
